Project Name,Street Name,Property Type,Sale Date,Transacted Price ($),Unit Price ($ PSF),Area (SQFT),Postal District,Floor Level,Tenure,latitude,longitude,geocoded_address,price_level,psf_level
LE REGAL,GEYLANG ROAD,Retail,2024-11-01,300000,2787.0,107.64,14,01 to 05,Freehold,1.31250268727998,103.880368117228,340 GEYLANG ROAD LE REGAL SINGAPORE 389365,<1M,2-4k PSF
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Retail,2024-11-01,1200000,2230.0,538.2,14,06 to 10,99 yrs lease commencing from 2011,1.31881487007651,103.892580778514,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,1-3M,2-4k PSF
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,2024-11-01,1180000,2674.0,441.32,1,01 to 05,99 yrs lease commencing from 1970,1.28577009981805,103.843980122838,101 UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058357,1-3M,2-4k PSF
PRINSEP PLACE,PRINSEP STREET,Shop House,2024-11-01,4120000,1797.0,2292.73,7,01 to 05,99 yrs lease commencing from 1997,1.29943059843284,103.849831300681,50 PRINSEP STREET PRINSEP PLACE SINGAPORE 188672,3-10M,<2k PSF
SERANGOON GARDEN ESTATE,LICHFIELD ROAD,Shop House,2024-11-01,4000000,1725.0,2318.57,19,-,999 yrs lease commencing from 1957,1.36364218182276,103.870109423163,2 LICHFIELD ROAD SERANGOON GARDEN ESTATE SINGAPORE 556822,3-10M,<2k PSF
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,2024-11-01,1988888,5279.0,376.74,7,06 to 10,99 yrs lease commencing from 1983,1.3030242605718,103.853037814067,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,1-3M,4-7k PSF
SUNSHINE PLAZA,BENCOOLEN STREET,Retail,2024-11-01,688000,2557.0,269.1,7,01 to 05,99 yrs lease commencing from 1997,1.30034762081549,103.851046168708,91 BENCOOLEN STREET SUNSHINE PLAZA SINGAPORE 189652,<1M,2-4k PSF
SYCAMORE TREE,FOWLIE ROAD,Retail,2024-11-01,1850000,3183.0,581.26,15,01 to 05,Freehold,1.30756108101684,103.903479641307,2 FOWLIE ROAD SYCAMORE TREE SINGAPORE 428505,1-3M,2-4k PSF
THE ALPS RESIDENCES,TAMPINES STREET 86,Retail,2024-11-01,2350000,3411.0,688.9,18,01 to 05,99 yrs lease commencing from 2015,1.35505582637096,103.929921925596,101 TAMPINES STREET 86 THE ALPS RESIDENCES SINGAPORE 528575,1-3M,2-4k PSF
THE ARCADE,COLLYER QUAY,Retail,2024-11-01,5892500,2500.0,2357.32,1,06 to 10,99 yrs lease commencing from 1980,1.283619583733,103.852068945868,11 COLLYER QUAY THE ARCADE SINGAPORE 049317,3-10M,2-4k PSF
THE GOLDEN LANDMARK,VICTORIA STREET,Retail,2024-11-01,766300,1978.0,387.5,7,01 to 05,99 yrs lease commencing from 1981,1.30197196437956,103.857804288546,390 VICTORIA STREET THE GOLDEN LANDMARK SINGAPORE 188061,<1M,<2k PSF
WOODS SQUARE,WOODLANDS SQUARE,Retail,2024-11-01,1171569,2093.0,559.73,25,06 to 10,99 yrs lease commencing from 2014,1.43514061477093,103.785951871544,6 WOODLANDS SQUARE WOODS SQUARE SINGAPORE 737737,1-3M,2-4k PSF
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Retail,2024-10-01,2820000,2426.0,1162.51,21,B1 to B5,999 yrs lease commencing from 1883,1.34316475341698,103.776031354379,170 UPPER BUKIT TIMAH ROAD BUKIT TIMAH SHOPPING CENTRE SINGAPORE 588179,1-3M,2-4k PSF
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,2024-10-01,675000,1742.0,387.5,3,01 to 05,99 yrs lease commencing from 1980,1.28888605616528,103.834206802698,317 OUTRAM ROAD CONCORDE SHOPPING CENTRE SINGAPORE 169075,<1M,<2k PSF
FORTUNE CENTRE,MIDDLE ROAD,Retail,2024-10-01,1480000,2148.0,688.9,7,01 to 05,99 yrs lease commencing from 1980,1.30042241913975,103.852286627386,190 MIDDLE ROAD FORTUNE CENTRE SINGAPORE 188979,1-3M,2-4k PSF
GRANDLINK SQUARE,GUILLEMARD ROAD,Retail,2024-10-01,900000,2323.0,387.5,14,01 to 05,Freehold,1.3141912983094,103.891500511011,511 GUILLEMARD ROAD GRANDLINK SQUARE SINGAPORE 399849,<1M,2-4k PSF
GRANDLINK SQUARE,GUILLEMARD ROAD,Retail,2024-10-01,860000,2159.0,398.27,14,01 to 05,Freehold,1.3141912983094,103.891500511011,511 GUILLEMARD ROAD GRANDLINK SQUARE SINGAPORE 399849,<1M,2-4k PSF
GREENDALE COURT,GREENDALE AVENUE,Shop House,2024-10-01,2500000,2903.0,861.12,11,-,Freehold,1.33161136384317,103.807217945824,1 GREENDALE AVENUE GREENDALE COURT SINGAPORE 289495,1-3M,2-4k PSF
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,2024-10-01,500000,3871.0,129.17,15,01 to 05,Freehold,1.3040973115095,103.901515916971,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844,<1M,2-4k PSF
LUCKY PLAZA,ORCHARD ROAD,Retail,2024-10-01,1285000,7022.0,182.99,9,01 to 05,Freehold,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,1-3M,>7k PSF
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,2024-10-01,738000,1632.0,452.09,7,01 to 05,99 yrs lease commencing from 1974,1.30064530196806,103.849448612005,35 SELEGIE ROAD PARKLANE SHOPPING MALL SINGAPORE 188307,<1M,<2k PSF
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,2024-10-01,655000,3043.0,215.28,3,01 to 05,Freehold,1.28759518939869,103.803397287789,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,<1M,2-4k PSF
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,2024-10-01,960000,2787.0,344.45,7,01 to 05,99 yrs lease commencing from 1983,1.3030242605718,103.853037814067,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,<1M,2-4k PSF
SQUARE 2,SINARAN DRIVE,Retail,2024-10-01,3213475,4327.0,742.72,11,06 to 10,99 yrs lease commencing from 2002,1.32070510956845,103.844160709661,10 SINARAN DRIVE SQUARE 2 SINGAPORE 307506,3-10M,4-7k PSF
SUITES@ KATONG,TANJONG KATONG ROAD,Retail,2024-10-01,1485000,2999.0,495.14,15,01 to 05,Freehold,1.30780276693953,103.895551267647,263 TANJONG KATONG ROAD SUITES@ KATONG SINGAPORE 437050,1-3M,2-4k PSF
SULTAN PLAZA,JALAN SULTAN,Retail,2024-10-01,300000,1742.0,172.22,7,01 to 05,99 yrs lease commencing from 1978,1.30294528666428,103.861851786605,100 JALAN SULTAN GOLDEN SULTAN PLAZA SINGAPORE 199001,<1M,<2k PSF
SULTAN PLAZA,JALAN SULTAN,Retail,2024-10-01,285000,1471.0,193.75,7,01 to 05,99 yrs lease commencing from 1978,1.30294528666428,103.861851786605,100 JALAN SULTAN GOLDEN SULTAN PLAZA SINGAPORE 199001,<1M,<2k PSF
TEXTILE CENTRE,JALAN SULTAN,Retail,2024-10-01,1490000,1173.0,1270.15,7,01 to 05,99 yrs lease commencing from 1970,1.30393835645617,103.861630792094,200 JALAN SULTAN TEXTILE CENTRE SINGAPORE 199018,1-3M,<2k PSF
THE ALPS RESIDENCES,TAMPINES STREET 86,Retail,2024-10-01,2000000,2903.0,688.9,18,01 to 05,99 yrs lease commencing from 2015,1.35505582637096,103.929921925596,101 TAMPINES STREET 86 THE ALPS RESIDENCES SINGAPORE 528575,1-3M,2-4k PSF
URBAN VISTA,TANAH MERAH KECHIL LINK,Retail,2024-10-01,615000,1465.0,419.8,16,01 to 05,99 yrs lease commencing from 2012,1.3276667701016,103.944745938969,2 TANAH MERAH KECHIL LINK URBAN VISTA SINGAPORE 465417,<1M,<2k PSF
WIS@CHANGI,CHANGI ROAD,Retail,2024-10-01,595000,3071.0,193.75,14,01 to 05,Freehold,1.31647122783973,103.901232839024,116 CHANGI ROAD WIS@CHANGI SINGAPORE 419718,<1M,2-4k PSF
WISMA ATRIA,ORCHARD ROAD,Retail,2024-10-01,3850000,2235.0,1722.24,9,21 to 25,99 yrs lease commencing from 1962,1.30370477426147,103.833205752808,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,3-10M,2-4k PSF
ADELPHI PARK ESTATE,JASMINE ROAD,Shop House,2024-09-01,4500000,3211.0,1401.47,20,-,Freehold,1.35578226096,103.830006737077,2 JASMINE ROAD ADELPHI PARK ESTATE SINGAPORE 576564,3-10M,2-4k PSF
BALESTIER POINT,BALESTIER ROAD,Retail,2024-09-01,680000,2527.0,269.1,12,01 to 05,Freehold,1.32281193728737,103.852026274201,279 BALESTIER ROAD BALESTIER POINT SINGAPORE 329727,<1M,2-4k PSF
BALESTIER POINT,BALESTIER ROAD,Retail,2024-09-01,923000,2598.0,355.21,12,01 to 05,Freehold,1.32281193728737,103.852026274201,279 BALESTIER ROAD BALESTIER POINT SINGAPORE 329727,<1M,2-4k PSF
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,2024-09-01,1083333,3871.0,279.86,7,01 to 05,999 yrs lease commencing from 1827,1.2981408343975,103.855635339249,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,1-3M,2-4k PSF
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,2024-09-01,916667,3871.0,236.81,7,01 to 05,999 yrs lease commencing from 1827,1.2981408343975,103.855635339249,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,<1M,2-4k PSF
CITY PLAZA,GEYLANG ROAD,Retail,2024-09-01,953988,3853.0,247.57,14,01 to 05,Freehold,1.3147868971977,103.893472115119,810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286,<1M,2-4k PSF
EAST VILLAGE,UPPER CHANGI ROAD,Retail,2024-09-01,630000,3080.0,204.52,16,01 to 05,Freehold,1.3317758150305,103.946201241591,430 UPPER CHANGI ROAD EAST VILLAGE SINGAPORE 487048,<1M,2-4k PSF
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,2024-09-01,8800000,4572.0,1924.6,14,-,Freehold,1.3149847652801,103.890506462049,739-1 GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389650,3-10M,4-7k PSF
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,2024-09-01,1100000,3097.0,355.21,28,01 to 05,99 yrs lease commencing from 2014,1.39638961318515,103.875132778517,21 FERNVALE ROAD HIGH PARK RESIDENCES SINGAPORE 797637,1-3M,2-4k PSF
ORCHARD TOWERS,ORCHARD ROAD,Retail,2024-09-01,989000,3828.0,258.34,9,01 to 05,Freehold,1.30508722710852,103.830722581168,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881,<1M,2-4k PSF
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,2024-09-01,4500000,4139.0,1087.16,15,01 to 05,99 yrs lease commencing from 1981,1.30188732078192,103.905996468402,1 MARINE PARADE CENTRAL PARKWAY CENTRE SINGAPORE 449408,3-10M,4-7k PSF
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,2024-09-01,1280000,5405.0,236.81,1,01 to 05,99 yrs lease commencing from 1968,1.28413397178419,103.842519972666,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,1-3M,4-7k PSF
SEMBAWANG HILLS ESTATE,JALAN GELENGGANG,Shop House,2024-09-01,5000000,1727.0,2895.52,20,-,Freehold,1.37301159823673,103.829861906906,2 JALAN GELENGGANG SEMBAWANG HILLS ESTATE SINGAPORE 578187,3-10M,<2k PSF
TEXTILE CENTRE,JALAN SULTAN,Retail,2024-09-01,1600000,1728.0,925.7,7,01 to 05,99 yrs lease commencing from 1970,1.30393835645617,103.861630792094,200 JALAN SULTAN TEXTILE CENTRE SINGAPORE 199018,1-3M,<2k PSF
THE ARCADE,COLLYER QUAY,Retail,2024-09-01,2800000,5535.0,505.91,1,01 to 05,99 yrs lease commencing from 1979,1.283619583733,103.852068945868,11 COLLYER QUAY THE ARCADE SINGAPORE 049317,1-3M,4-7k PSF
THE CENTREPOINT,ORCHARD ROAD,Retail,2024-09-01,5200000,3960.0,1313.21,9,01 to 05,99 yrs lease commencing from 1979,1.30200787412513,103.83977758311,176 ORCHARD ROAD THE CENTREPOINT SINGAPORE 238843,3-10M,2-4k PSF
THE MIDTOWN,UPPER SERANGOON ROAD,Retail,2024-09-01,1800000,2389.0,753.48,19,01 to 05,99 yrs lease commencing from 2013,1.37050445523679,103.895291518188,1187 UPPER SERANGOON ROAD THE MIDTOWN SINGAPORE 533971,1-3M,2-4k PSF
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,2024-09-01,490000,2069.0,236.81,19,01 to 05,Freehold,1.35530904178242,103.887857183262,183 JALAN PELIKAT THE PROMENADE@PELIKAT SINGAPORE 537643,<1M,2-4k PSF
ALEXIS,ALEXANDRA ROAD,Retail,2024-08-01,7000000,3235.0,2163.56,3,01 to 05,Freehold,1.29130379243474,103.807350978054,354 ALEXANDRA ROAD ALEXIS SINGAPORE 159948,3-10M,2-4k PSF
ATLAND HOUSE,BUKIT TIMAH ROAD,Shop House,2024-08-01,17000000,8162.0,2082.83,9,-,Freehold,1.31184270637438,103.842073363162,200 BUKIT TIMAH ROAD ATLAND HOUSE SINGAPORE 229862,>10M,>7k PSF
COCO PALMS,PASIR RIS GROVE,Retail,2024-08-01,1250000,2074.0,602.78,18,01 to 05,99 yrs lease commencing from 2008,1.37150158736384,103.945323459304,11 PASIR RIS GROVE COCO PALMS SINGAPORE 518140,1-3M,2-4k PSF
FAR EAST PLAZA,SCOTTS ROAD,Retail,2024-08-01,2800000,7030.0,398.27,9,01 to 05,Freehold,1.30717698071189,103.833792932243,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,1-3M,>7k PSF
FAR EAST PLAZA,SCOTTS ROAD,Retail,2024-08-01,2100000,4645.0,452.09,9,01 to 05,Freehold,1.30717698071189,103.833792932243,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,1-3M,4-7k PSF
HOLLAND ROAD SHOPPING CENTRE,HOLLAND AVENUE,Retail,2024-08-01,2900000,4727.0,613.55,10,01 to 05,Freehold,1.31027747574118,103.795371163103,211 HOLLAND AVENUE HOLLAND ROAD SHOPPING CENTRE SINGAPORE 278967,1-3M,4-7k PSF
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,2024-08-01,840000,3716.0,226.04,15,B1 to B5,Freehold,1.3040973115095,103.901515916971,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844,<1M,2-4k PSF
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,2024-08-01,970000,2503.0,387.5,7,01 to 05,99 yrs lease commencing from 1983,1.3030242605718,103.853037814067,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,<1M,2-4k PSF
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,2024-08-01,1750000,4278.0,409.03,7,06 to 10,99 yrs lease commencing from 1983,1.3030242605718,103.853037814067,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,1-3M,4-7k PSF
SOUTHBANK,NORTH BRIDGE ROAD,Retail,2024-08-01,550000,3006.0,182.99,7,01 to 05,99 yrs lease commencing from 2006,1.30631203112933,103.864308334438,881 NORTH BRIDGE ROAD SOUTHBANK SINGAPORE 198784,<1M,2-4k PSF
TELOK AYER CONSERVATION AREA,CLUB STREET,Shop House,2024-08-01,13250000,11180.0,1185.12,1,-,999 yrs lease commencing from 1827,1.28243235039885,103.846560038081,25A CLUB STREET TELOK AYER CONSERVATION AREA SINGAPORE 069412,>10M,>7k PSF
THE 101,BEACH ROAD,Retail,2024-08-01,8707260,5657.0,1539.25,7,01 to 05,999 yrs lease commencing from 1827,1.29775245086994,103.856949531399,101 BEACH ROAD THE 101 SINGAPORE 189703,3-10M,4-7k PSF
THE CENTREPOINT,ORCHARD ROAD,Retail,2024-08-01,1550000,3000.0,516.67,9,01 to 05,99 yrs lease commencing from 1979,1.30200787412513,103.83977758311,176 ORCHARD ROAD THE CENTREPOINT SINGAPORE 238843,1-3M,2-4k PSF
THE COMMERZE@IRVING,IRVING PLACE,Retail,2024-08-01,535000,1243.0,430.56,13,01 to 05,60 yrs lease commencing from 2011,1.33623678708616,103.88643382511,1 IRVING PLACE THE COMMERZE@IRVING SINGAPORE 369546,<1M,<2k PSF
TONG BUILDING,ORCHARD ROAD,Retail,2024-08-01,13965840,4080.0,3422.95,9,16 to 20,Freehold,1.30394537388751,103.834827426749,302 ORCHARD ROAD TONG BUILDING SINGAPORE 238862,>10M,4-7k PSF
VIBES @ KOVAN,KOVAN ROAD,Retail,2024-08-01,620000,1986.0,312.16,19,01 to 05,Freehold,1.35482511473466,103.877603175814,93 KOVAN ROAD VIBES @ KOVAN SINGAPORE 548178,<1M,<2k PSF
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,2024-08-01,340000,2256.0,150.7,5,B1 to B5,Freehold,1.27980322314972,103.78590960328,3 SOUTH BUONA VISTA ROAD VIVA VISTA SINGAPORE 118136,<1M,2-4k PSF
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,2024-07-01,1100000,2492.0,441.32,21,01 to 05,99 yrs lease commencing from 1979,1.34241264188642,103.776539385406,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,1-3M,2-4k PSF
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,2024-07-01,1550000,3349.0,462.85,21,01 to 05,99 yrs lease commencing from 1979,1.34241264188642,103.776539385406,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,1-3M,2-4k PSF
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,2024-07-01,1200000,3378.0,355.21,7,01 to 05,999 yrs lease commencing from 1827,1.2981408343975,103.855635339249,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,1-3M,2-4k PSF
CHARLTON CORNER,CHARLTON LANE,Retail,2024-07-01,125000,2323.0,53.82,19,01 to 05,Freehold,1.35557651472076,103.881552486332,1 CHARLTON LANE CHARLTON CORNER SINGAPORE 539631,<1M,2-4k PSF
CITY GATE,BEACH ROAD,Retail,2024-07-01,1296400,2801.0,462.85,7,B1 to B5,99 yrs lease commencing from 2014,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,1-3M,2-4k PSF
CITY PLAZA,GEYLANG ROAD,Retail,2024-07-01,4800000,4054.0,1184.04,14,01 to 05,Freehold,1.3147868971977,103.893472115119,810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286,3-10M,4-7k PSF
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Retail,2024-07-01,1170000,4529.0,258.34,10,01 to 05,Freehold,1.32383512178759,103.809999570047,587 BUKIT TIMAH ROAD CORONATION SHOPPING PLAZA SINGAPORE 269707,1-3M,4-7k PSF
EASTWOOD CENTRE,EASTWOOD ROAD,Retail,2024-07-01,4300000,1875.0,2292.73,16,01 to 05,99 yrs lease commencing from 1995,1.32154249881548,103.955535617961,20 EASTWOOD ROAD EASTWOOD CENTRE SINGAPORE 486442,3-10M,<2k PSF
ENG KONG PARK,ENG KONG TERRACE,Shop House,2024-07-01,3928000,2583.0,1520.95,21,-,Freehold,1.33645990991898,103.768906484256,1 ENG KONG TERRACE ENG KONG PARK SINGAPORE 598973,3-10M,2-4k PSF
GOLDEN MILE TOWER,BEACH ROAD,Retail,2024-07-01,335000,1638.0,204.52,7,01 to 05,99 yrs lease commencing from 1969,1.30189174683933,103.864140679249,6001 BEACH ROAD GOLDEN MILE TOWER SINGAPORE 199589,<1M,<2k PSF
GRANDLINK SQUARE,GUILLEMARD ROAD,Retail,2024-07-01,1240000,4114.0,301.39,14,01 to 05,Freehold,1.3141912983094,103.891500511011,511 GUILLEMARD ROAD GRANDLINK SQUARE SINGAPORE 399849,1-3M,4-7k PSF
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,2024-07-01,1100000,3097.0,355.21,28,01 to 05,99 yrs lease commencing from 2014,1.39638961318515,103.875132778517,21 FERNVALE ROAD HIGH PARK RESIDENCES SINGAPORE 797637,1-3M,2-4k PSF
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,2024-07-01,1130000,3088.0,365.98,28,01 to 05,99 yrs lease commencing from 2014,1.39638961318515,103.875132778517,21 FERNVALE ROAD HIGH PARK RESIDENCES SINGAPORE 797637,1-3M,2-4k PSF
KAP,KING ALBERT PARK,Retail,2024-07-01,1630000,4093.0,398.27,21,01 to 05,Freehold,1.3369739915192,103.779316558394,9 KING ALBERT PARK EAGLEWINGS CINEMATICS @ KAP SINGAPORE 598332,1-3M,4-7k PSF
KAP,KING ALBERT PARK,Retail,2024-07-01,1550000,4114.0,376.74,21,01 to 05,Freehold,1.3369739915192,103.779316558394,9 KING ALBERT PARK EAGLEWINGS CINEMATICS @ KAP SINGAPORE 598332,1-3M,4-7k PSF
ORCHARD TOWERS,ORCHARD ROAD,Retail,2024-07-01,1150000,4452.0,258.34,9,B1 to B5,Freehold,1.30508722710852,103.830722581168,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881,1-3M,4-7k PSF
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,2024-07-01,2250960,1660.0,1356.26,15,01 to 05,99 yrs lease commencing from 1981,1.30188732078192,103.905996468402,1 MARINE PARADE CENTRAL PARKWAY CENTRE SINGAPORE 449408,1-3M,<2k PSF
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,2024-07-01,1875800,1660.0,1130.22,15,11 to 15,99 yrs lease commencing from 1981,1.30188732078192,103.905996468402,1 MARINE PARADE CENTRAL PARKWAY CENTRE SINGAPORE 449408,1-3M,<2k PSF
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,2024-07-01,7093180,1660.0,4273.31,15,11 to 15,99 yrs lease commencing from 1981,1.30188732078192,103.905996468402,1 MARINE PARADE CENTRAL PARKWAY CENTRE SINGAPORE 449408,3-10M,<2k PSF
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,2024-07-01,1088000,4212.0,258.34,3,01 to 05,Freehold,1.28759518939869,103.803397287789,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,1-3M,4-7k PSF
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,2024-07-01,1000000,2445.0,409.03,7,01 to 05,99 yrs lease commencing from 1983,1.3030242605718,103.853037814067,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,<1M,2-4k PSF
SUITES AT BUKIT TIMAH,JALAN JURONG KECHIL,Retail,2024-07-01,380000,3530.0,107.64,21,01 to 05,Freehold,1.34054847886549,103.773649129593,68 JALAN JURONG KECHIL SUITES AT BUKIT TIMAH SINGAPORE 596180,<1M,2-4k PSF
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Retail,2024-07-01,580000,2343.0,247.57,19,01 to 05,Freehold,1.35348082277147,103.878828134896,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626,<1M,2-4k PSF
VISIONCREST,PENANG ROAD,Retail,2024-07-01,2129300,5072.0,419.8,9,01 to 05,Freehold,1.29910790069205,103.842700035576,103 PENANG ROAD VISIONCREST SINGAPORE 238467,1-3M,4-7k PSF
VISIONCREST,PENANG ROAD,Retail,2024-07-01,1744000,5063.0,344.45,9,01 to 05,Freehold,1.29910790069205,103.842700035576,103 PENANG ROAD VISIONCREST SINGAPORE 238467,1-3M,4-7k PSF
VISIONCREST,PENANG ROAD,Retail,2024-07-01,1740500,5053.0,344.45,9,01 to 05,Freehold,1.29910790069205,103.842700035576,103 PENANG ROAD VISIONCREST SINGAPORE 238467,1-3M,4-7k PSF
VISIONCREST,PENANG ROAD,Retail,2024-07-01,1435000,5127.0,279.86,9,01 to 05,Freehold,1.29910790069205,103.842700035576,103 PENANG ROAD VISIONCREST SINGAPORE 238467,1-3M,4-7k PSF
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,2024-06-01,1000000,3204.0,312.16,21,01 to 05,99 yrs lease commencing from 1979,1.34241264188642,103.776539385406,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,<1M,2-4k PSF
BOAT QUAY CONSERVATION AREA,CIRCULAR ROAD,Shop House,2024-06-01,12280000,10334.0,1188.35,1,-,999 yrs lease commencing from 1826,1.28814297750701,103.848933996224,1 CIRCULAR ROAD BOAT QUAY CONSERVATION AREA SINGAPORE 049357,>10M,>7k PSF
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,2024-06-01,480000,1715.0,279.86,3,01 to 05,99 yrs lease commencing from 1980,1.28888605616528,103.834206802698,317 OUTRAM ROAD CONCORDE SHOPPING CENTRE SINGAPORE 169075,<1M,<2k PSF
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Retail,2024-06-01,1150000,4452.0,258.34,10,01 to 05,Freehold,1.32383512178759,103.809999570047,587 BUKIT TIMAH ROAD CORONATION SHOPPING PLAZA SINGAPORE 269707,1-3M,4-7k PSF
FU LU SHOU COMPLEX,ROCHOR ROAD,Retail,2024-06-01,900000,3801.0,236.81,7,01 to 05,99 yrs lease commencing from 1980,1.30151258571919,103.854497235401,149 ROCHOR ROAD FU LU SHOU COMPLEX SINGAPORE 188425,<1M,2-4k PSF
FU LU SHOU COMPLEX,ROCHOR ROAD,Retail,2024-06-01,868888,3844.0,226.04,7,01 to 05,99 yrs lease commencing from 1980,1.30151258571919,103.854497235401,149 ROCHOR ROAD FU LU SHOU COMPLEX SINGAPORE 188425,<1M,2-4k PSF
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,2024-06-01,6000000,4355.0,1377.79,14,-,Freehold,1.3149847652801,103.890506462049,739-1 GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389650,3-10M,4-7k PSF
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,2024-06-01,1100000,3097.0,355.21,28,01 to 05,99 yrs lease commencing from 2014,1.39638961318515,103.875132778517,21 FERNVALE ROAD HIGH PARK RESIDENCES SINGAPORE 797637,1-3M,2-4k PSF
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,Retail,2024-06-01,382000,2730.0,139.93,23,01 to 05,99 yrs lease commencing from 2000,1.35213754685233,103.759354902417,26 BUKIT BATOK EAST AVENUE 2 HILLVIEW REGENCY SINGAPORE 659920,<1M,2-4k PSF
MAYFAIR PARK,RIFLE RANGE ROAD,Shop House,2024-06-01,1250000,1139.0,1097.93,21,-,99 yrs lease commencing from 1952,1.34080690568747,103.779459731213,78A RIFLE RANGE ROAD MAYFAIR PARK SINGAPORE 588384,1-3M,<2k PSF
PAVILION SQUARE,GEYLANG ROAD,Retail,2024-06-01,180000,2090.0,86.11,14,01 to 05,Freehold,1.31297800060859,103.879770800217,345 GEYLANG ROAD PAVILION SQUARE SINGAPORE 389366,<1M,2-4k PSF
TEXTILE CENTRE,JALAN SULTAN,Retail,2024-06-01,8800000,2629.0,3347.6,7,01 to 05,99 yrs lease commencing from 1970,1.30393835645617,103.861630792094,200 JALAN SULTAN TEXTILE CENTRE SINGAPORE 199018,3-10M,2-4k PSF
